Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
115	Receive	13:14:37.136			0x18888888	Data	Extend	0x08	00 00 00 00 01 06 00 00 	
116	Receive	13:14:37.136			0x1826A1F3	Data	Extend	0x08	2A 13 10 15 10 14 10 00 	
117	Receive	13:14:37.136			0x1827A1F3	Data	Extend	0x08	2A 16 10 17 10 18 10 00 	
118	Receive	13:14:37.136			0x1828A1F3	Data	Extend	0x08	2A 17 10 17 10 16 10 00 	
119	Receive	13:14:37.136			0x1829A1F3	Data	Extend	0x08	2A 16 10 17 10 16 10 00 	
120	Receive	13:14:37.136			0x0C00A1F3	Data	Extend	0x08	01 00 7D 08 0A 00 00 AE 	
121	Receive	13:14:37.136			0x1010A1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
122	Receive	13:14:37.136			0x1820A1F3	Data	Extend	0x08	E2 03 00 00 00 00 00 00 	
123	Receive	13:14:37.152			0x1821A1F3	Data	Extend	0x08	BC 1B B2 11 64 0A 5D 00 	
124	Receive	13:14:37.152			0x1822A1F3	Data	Extend	0x08	00 00 49 02 E0 0A 00 00 	
125	Receive	13:14:37.152			0x1823A1F3	Data	Extend	0x08	A4 01 42 18 32 0A 07 00 	
126	Receive	13:14:37.152			0x182AA1F3	Data	Extend	0x08	02 3E 3E 3E 3F 3E 3F 3F 	
127	Receive	13:14:37.152			0x182BA1F3	Data	Extend	0x08	02 3E 3E 3E 3E 3F 3F 3F 	
128	Receive	13:14:37.152			0x182CA1F3	Data	Extend	0x08	02 3E 3E 3E 3E 3E 3E 3E 	
129	Receive	13:14:37.152			0x182DA1F3	Data	Extend	0x08	02 3E 3E 3E 3F 3F 3F 3F 	
130	Receive	13:14:37.152			0x182EA1F3	Data	Extend	0x08	00 7D 00 7D 00 7D 00 7D 	
131	Receive	13:14:37.152			0x1830A1F3	Data	Extend	0x08	FE 1A FE 1A FE 1A FE 1A 	
132	Receive	13:14:37.152			0x1011A1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
133	Receive	13:14:37.152			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
134	Receive	13:14:37.152			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
135	Receive	13:14:37.152			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
136	Receive	13:14:37.152			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
